id;group;text;condition;time;question;correct
CA0;TraStu;Text1;SE;First;Question1;0
CA0;TraStu;Text1;SE;First;Question2;0
CA0;TraStu;Text1;SE;First;Question3;1
CA0;TraStu;Text1;SE;First;Question4;0
CA0;TraStu;Text1;SE;First;Question5;1
CA0;TraStu;Text2;ELF;Second;Question1;1
CA0;TraStu;Text2;ELF;Second;Question2;1
CA0;TraStu;Text2;ELF;Second;Question3;1
CA0;TraStu;Text2;ELF;Second;Question4;1
CA0;TraStu;Text2;ELF;Second;Question5;0
CA1;TraStu;Text1;SE;First;Question1;1
CA1;TraStu;Text1;SE;First;Question2;0
CA1;TraStu;Text1;SE;First;Question3;0
CA1;TraStu;Text1;SE;First;Question4;0
CA1;TraStu;Text1;SE;First;Question5;1
CA1;TraStu;Text2;ELF;Second;Question1;0
CA1;TraStu;Text2;ELF;Second;Question2;1
CA1;TraStu;Text2;ELF;Second;Question3;1
CA1;TraStu;Text2;ELF;Second;Question4;0
CA1;TraStu;Text2;ELF;Second;Question5;0
CA2;TraStu;Text1;ELF;Second;Question1;0
CA2;TraStu;Text1;ELF;Second;Question2;0
CA2;TraStu;Text1;ELF;Second;Question3;0
CA2;TraStu;Text1;ELF;Second;Question4;1
CA2;TraStu;Text1;ELF;Second;Question5;1
CA2;TraStu;Text2;SE;First;Question1;1
CA2;TraStu;Text2;SE;First;Question2;1
CA2;TraStu;Text2;SE;First;Question3;1
CA2;TraStu;Text2;SE;First;Question4;0
CA2;TraStu;Text2;SE;First;Question5;1
CA3;TraStu;Text1;SE;Second;Question1;1
CA3;TraStu;Text1;SE;Second;Question2;1
CA3;TraStu;Text1;SE;Second;Question3;1
CA3;TraStu;Text1;SE;Second;Question4;1
CA3;TraStu;Text1;SE;Second;Question5;1
CA3;TraStu;Text2;ELF;First;Question1;1
CA3;TraStu;Text2;ELF;First;Question2;1
CA3;TraStu;Text2;ELF;First;Question3;0
CA3;TraStu;Text2;ELF;First;Question4;1
CA3;TraStu;Text2;ELF;First;Question5;1
CA4;TraStu;Text1;SE;Second;Question1;1
CA4;TraStu;Text1;SE;Second;Question2;0
CA4;TraStu;Text1;SE;Second;Question3;0
CA4;TraStu;Text1;SE;Second;Question4;0
CA4;TraStu;Text1;SE;Second;Question5;1
CA4;TraStu;Text2;ELF;First;Question1;0
CA4;TraStu;Text2;ELF;First;Question2;0
CA4;TraStu;Text2;ELF;First;Question3;1
CA4;TraStu;Text2;ELF;First;Question4;1
CA4;TraStu;Text2;ELF;First;Question5;1
CA5;TraStu;Text1;ELF;Second;Question1;0
CA5;TraStu;Text1;ELF;Second;Question2;1
CA5;TraStu;Text1;ELF;Second;Question3;0
CA5;TraStu;Text1;ELF;Second;Question4;1
CA5;TraStu;Text1;ELF;Second;Question5;1
CA5;TraStu;Text2;SE;First;Question1;0
CA5;TraStu;Text2;SE;First;Question2;1
CA5;TraStu;Text2;SE;First;Question3;0
CA5;TraStu;Text2;SE;First;Question4;1
CA5;TraStu;Text2;SE;First;Question5;0
CA6;TraStu;Text1;SE;Second;Question1;1
CA6;TraStu;Text1;SE;Second;Question2;0
CA6;TraStu;Text1;SE;Second;Question3;1
CA6;TraStu;Text1;SE;Second;Question4;1
CA6;TraStu;Text1;SE;Second;Question5;1
CA6;TraStu;Text2;ELF;First;Question1;1
CA6;TraStu;Text2;ELF;First;Question2;1
CA6;TraStu;Text2;ELF;First;Question3;1
CA6;TraStu;Text2;ELF;First;Question4;1
CA6;TraStu;Text2;ELF;First;Question5;0
CA7;TraStu;Text1;SE;First;Question1;0
CA7;TraStu;Text1;SE;First;Question2;0
CA7;TraStu;Text1;SE;First;Question3;0
CA7;TraStu;Text1;SE;First;Question4;1
CA7;TraStu;Text1;SE;First;Question5;1
CA7;TraStu;Text2;ELF;Second;Question1;1
CA7;TraStu;Text2;ELF;Second;Question2;1
CA7;TraStu;Text2;ELF;Second;Question3;1
CA7;TraStu;Text2;ELF;Second;Question4;1
CA7;TraStu;Text2;ELF;Second;Question5;1
CA8;TraStu;Text1;SE;Second;Question1;0
CA8;TraStu;Text1;SE;Second;Question2;1
CA8;TraStu;Text1;SE;Second;Question3;0
CA8;TraStu;Text1;SE;Second;Question4;0
CA8;TraStu;Text1;SE;Second;Question5;1
CA8;TraStu;Text2;ELF;First;Question1;1
CA8;TraStu;Text2;ELF;First;Question2;1
