id;timeTask;timeRS;recordEEG;useEL;useEL_Calib;recordFullEXP;order_index;order_1;order_2;order_3;order_4;order_index_task;order_task_1;order_task_2;order_task_3;order_task_4;order_index_LDT;order_LDT_1;order_LDT_2;order_LDT_3
C00;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;3;2;1;2;1;5;3;1;2
C21;300;180;WAHR;WAHR;WAHR;WAHR;2;4;1;2;3;3;2;1;2;1;2;1;3;2
C22;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;2;2;1;1;2;2;1;3;2
C23;300;180;WAHR;WAHR;WAHR;WAHR;2;4;1;2;3;2;2;1;1;2;4;2;3;1
C24;120;15;WAHR;WAHR;WAHR;WAHR;2;4;1;2;3;1;1;2;1;2;1;1;2;3
C25;300;180;WAHR;WAHR;WAHR;WAHR;3;2;3;4;1;1;1;2;1;2;3;2;1;3
C26;300;180;WAHR;WAHR;WAHR;WAHR;2;4;1;2;3;2;2;1;1;2;5;3;1;2
CE0;300;180;WAHR;WAHR;WAHR;WAHR;3;2;3;4;1;2;2;1;1;2;6;3;2;1
CE1;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;2;2;1;1;2;3;2;1;3
CE2;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;4;1;2;2;1;4;2;3;1
CE3;300;180;WAHR;WAHR;WAHR;WAHR;1;1;4;3;2;2;2;1;1;2;1;1;2;3
CE4;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;4;1;2;2;1;3;2;1;3
CE5;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;3;2;1;2;1;3;2;1;3
CE6;300;180;WAHR;WAHR;WAHR;WAHR;3;2;3;4;1;3;2;1;2;1;2;1;3;2
CE7;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;2;2;1;1;2;5;3;1;2
CE8;300;180;WAHR;WAHR;WAHR;WAHR;1;1;4;3;2;1;1;2;1;2;3;2;1;3
CI0;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;4;1;2;2;1;6;3;2;1
CI1;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;2;2;1;1;2;5;3;1;2
CI2;300;180;WAHR;WAHR;WAHR;WAHR;2;4;1;2;3;1;1;2;1;2;4;2;3;1
CI3;300;180;WAHR;WAHR;WAHR;WAHR;2;4;1;2;3;4;1;2;2;1;5;3;1;2
CI4;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;3;2;1;2;1;1;1;2;3
CM0;300;180;WAHR;WAHR;WAHR;WAHR;2;4;1;2;3;2;2;1;1;2;1;1;2;3
CM1;300;180;WAHR;WAHR;WAHR;WAHR;1;1;4;3;2;2;2;1;1;2;1;1;2;3
CQ0;300;180;WAHR;WAHR;WAHR;WAHR;2;4;1;2;3;2;2;1;1;2;5;3;1;2
CU0;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;1;1;2;1;2;2;1;3;2
CU1;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;2;2;1;1;2;5;3;1;2
CU2;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;1;1;2;1;2;1;1;2;3
CU3;300;180;WAHR;WAHR;WAHR;WAHR;2;4;1;2;3;4;1;2;2;1;1;1;2;3
CU4;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;1;1;2;1;2;5;3;1;2
CU5;300;180;WAHR;WAHR;WAHR;WAHR;4;3;2;1;4;3;2;1;2;1;3;2;1;3
