VPN_Code;avg_12_16;avg_32_36;avg_42_46;avg_13_17;avg_33_37;avg_43_47;avg_71_75;avg_74_78
CA2;135;149;149;135;150;148;117;80
CA5;150;150;150;148;150;147;135;137
CE0;145;150;129;142;147;143;72;61
CE1;150;148;148;150;148;150;150;147
CE2;135;150;150;148;150;150;116;101
CE4;141;150;148;150;150;149;148;121
CE5;150;150;150;150;150;150;111;55
CE6;140;150;147;146;139;149;150;148
CE7;150;150;150;150;150;150;81;68
CE9;149;150;150;150;150;150;127;100
CF0;150;150;148;150;150;147;122;137
CF1;140;149;142;100;145;141;148;110
CF4;147;97;134;144;85;143;141;120
CF5;82;144;149;98;143;143;45;37
CI0;149;149;143;116;143;137;141;87
CI1;143;141;147;143;125;142;138;126
CI4;150;150;150;146;150;149;134;93
CI9;148;150;150;132;150;150;150;150
CJ0;147;149;148;149;150;129;85;118
CJ2;150;149;148;149;142;150;149;103
CJ5;112;145;147;127;144;142;72;55
CJ6;150;150;150;150;150;149;141;93
CM2;150;150;150;150;150;148;148;131
CM3;145;147;147;136;148;140;148;98
CM6;139;146;150;124;148;128;109;71
CM7;132;150;150;150;150;149;90;82
CM8;147;146;146;149;149;148;144;125
CN4;136;147;149;150;141;144;118;83
CU0;147;149;146;129;146;144;109;82
CU1;149;142;110;150;124;79;147;130
CU2;115;150;0;132;150;149;99;89
CU4;150;146;146;147;150;150;130;116
CU5;150;143;143;150;124;132;144;106
