Scenario - 
Logfile written - 12/16/2019 14:17:05

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

CE3	1	Picture	Start	167	0	1	81167	1	0	next	false_alarm	2
CE3	1	Response	1	81294	81128	0
CE3	2	Picture	B55	87667	0	1	5167	1	0	5000	other	0
CE3	3	Picture	M59	113500	0	1	5167	1	0	5000	other	0
CE3	4	Picture	F56	140000	0	1	5167	1	0	5000	other	0
CE3	5	Picture	A50	167000	0	1	5167	1	0	5000	other	0
CE3	6	Picture	M59	195000	0	1	5167	1	0	5000	miss	0
CE3	7	Picture	L58	222833	0	1	5167	1	0	5000	other	0
CE3	8	Picture	A50	249667	0	1	5167	1	0	5000	hit	10
CE3	8	Response	2	260099	10432	0
CE3	9	Picture	M59	277333	0	1	5167	1	0	5000	miss	0
CE3	10	Picture	U54	304833	0	1	5167	1	0	5000	other	0
CE3	11	Picture	F56	331667	0	1	5167	1	0	5000	other	0
CE3	12	Picture	A50	357833	0	1	5167	1	0	5000	other	0
CE3	13	Picture	U54	385333	0	1	5167	1	0	5000	hit	16
CE3	13	Response	2	403917	18584	0
CE3	14	Picture	H57	411000	0	1	5167	1	0	5000	other	0
CE3	15	Picture	M59	438167	0	1	5167	1	0	5000	other	0
CE3	16	Picture	L58	464167	0	1	5167	1	0	5000	other	0
CE3	17	Picture	H57	489667	0	1	5167	1	0	5000	hit	21
CE3	17	Response	2	498529	8863	0
CE3	18	Picture	I52	517000	0	1	5167	1	0	5000	other	0
CE3	19	Picture	H57	543167	0	1	5167	1	0	5000	other	0
CE3	20	Picture	F56	569000	0	1	5167	1	0	5000	other	0
CE3	21	Picture	B55	595667	0	1	5167	1	0	5000	other	0
CE3	22	Picture	H57	622667	0	1	5167	1	0	5000	miss	0
CE3	23	Picture	F56	649334	0	1	5167	1	0	5000	miss	0
CE3	24	Picture	B55	676667	0	1	5167	1	0	5000	miss	0
CE3	25	Picture	L58	704667	0	1	5167	1	0	5000	other	0
CE3	26	Picture	F56	732334	0	1	5167	1	0	5000	miss	0
CE3	27	Picture	B55	758000	0	1	5167	1	0	5000	miss	0
CE3	28	Picture	M59	784667	0	1	5167	1	0	5000	other	0
CE3	29	Picture	M59	810167	0	1	5167	1	0	5000	other	0
CE3	30	Picture	U54	837167	0	1	5167	1	0	5000	other	0
CE3	31	Picture	B55	864667	0	1	5167	1	0	5000	other	0
CE3	32	Picture	M59	890667	0	1	5167	1	0	5000	miss	0
CE3	33	Picture	H57	917500	0	1	5167	1	0	5000	other	0
CE3	34	Picture	O53	944000	0	1	5167	1	0	5000	other	0
CE3	35	Picture	U54	971000	0	1	5167	1	0	5000	other	0
CE3	36	Picture	I52	997500	0	1	5167	1	0	5000	other	0
CE3	37	Picture	L58	1024334	0	1	5167	1	0	5000	other	0
CE3	38	Picture	U54	1050500	0	1	5167	1	0	5000	miss	0
CE3	39	Picture	A50	1076667	0	1	5167	1	0	5000	other	0
CE3	40	Picture	I52	1104167	0	1	5167	1	0	5000	other	0
CE3	41	Picture	U54	1130167	0	1	5167	1	0	5000	miss	0
CE3	42	Picture	B55	1157667	0	1	5167	1	0	5000	other	0
CE3	43	Picture	I52	1184834	0	1	5167	1	0	5000	miss	0
CE3	44	Picture	E51	1211334	0	1	5167	1	0	5000	other	0
CE3	45	Picture	M59	1238834	0	1	5167	1	0	5000	other	0
CE3	46	Picture	E51	1265000	0	1	5167	1	0	5000	other	0
CE3	47	Picture	L58	1292334	0	1	5167	1	0	5000	other	0
CE3	48	Picture	I52	1317500	0	1	5167	1	0	5000	other	0
CE3	49	Picture	U54	1345000	0	1	5167	1	0	5000	other	0
CE3	50	Picture	A50	1371834	0	1	5167	1	0	5000	other	0
CE3	51	Picture	O53	1398500	0	1	5167	1	0	5000	other	0
CE3	52	Picture	L58	1424000	0	1	5167	1	0	5000	other	0
CE3	53	Picture	H57	1451500	0	1	5167	1	0	5000	other	0
CE3	54	Picture	L58	1476834	0	1	5167	1	0	5000	other	0
CE3	55	Picture	H57	1503334	0	1	5167	1	0	5000	other	0
CE3	56	Picture	H57	1529834	0	1	5167	1	0	5000	miss	0
CE3	57	Picture	L58	1555334	0	1	5167	1	0	5000	miss	0
CE3	58	Picture	H57	1580667	0	1	5167	1	0	5000	miss	0
CE3	59	Picture	H57	1607334	0	1	5167	1	0	5000	miss	0
CE3	60	Picture	B55	1635001	0	1	5167	1	0	5000	other	0
CE3	61	Picture	H57	1660501	0	1	5167	1	0	5000	miss	0
