Scenario - 
Logfile written - 06/18/2021 09:50:01

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

CI9	1	Picture	Start	167	0	1	35500	1	0	next	false_alarm	2
CI9	1	Response	1	34825	34659	0
CI9	2	Picture	A50	41333	0	1	5167	1	0	5000	other	0
CI9	3	Picture	E51	67500	0	1	5167	1	0	5000	other	0
CI9	4	Picture	U54	93667	0	1	5167	1	0	5000	other	0
CI9	5	Picture	A50	119500	0	1	5167	1	0	5000	hit	7
CI9	5	Response	2	125402	5902	0
CI9	6	Picture	I52	146833	0	1	5167	1	0	5000	other	0
CI9	7	Picture	E51	173500	0	1	5167	1	0	5000	other	0
CI9	8	Picture	A50	199500	0	1	5167	1	0	5000	miss	0
CI9	9	Picture	I52	226667	0	1	5167	1	0	5000	miss	0
CI9	10	Picture	F56	254500	0	1	5167	1	0	5000	other	0
CI9	11	Picture	O53	281000	0	1	5167	1	0	5000	other	0
CI9	12	Picture	I52	307167	0	1	5167	1	0	5000	miss	0
CI9	13	Picture	H57	334667	0	1	5167	1	0	5000	other	0
CI9	14	Picture	L58	361667	0	1	5167	1	0	5000	other	0
CI9	15	Picture	I52	388334	0	1	5167	1	0	5000	miss	0
CI9	16	Picture	B55	415834	0	1	5167	1	0	5000	other	0
CI9	17	Picture	L58	441834	0	1	5167	1	0	5000	miss	0
CI9	18	Picture	M59	468667	0	1	5167	1	0	5000	other	0
CI9	19	Picture	I52	494500	0	1	5167	1	0	5000	other	0
CI9	20	Picture	L58	521834	0	1	5167	1	0	5000	miss	0
CI9	21	Picture	I52	548167	0	1	5167	1	0	5000	other	0
CI9	22	Picture	B55	575167	0	1	5167	1	0	5000	other	0
CI9	23	Picture	O53	601500	0	1	5167	1	0	5000	other	0
CI9	24	Picture	I52	627667	0	1	5167	1	0	5000	miss	0
CI9	25	Picture	B55	653500	0	1	5167	1	0	5000	miss	0
CI9	26	Picture	U54	681334	0	1	5167	1	0	5000	other	0
CI9	27	Picture	E51	706501	0	1	5167	1	0	5000	other	0
CI9	28	Picture	B55	732334	0	1	5167	1	0	5000	miss	0
CI9	29	Picture	A50	760167	0	1	5167	1	0	5000	other	0
CI9	30	Picture	E51	786001	0	1	5167	1	0	5000	miss	0
CI9	31	Picture	H57	813001	0	1	5167	1	0	5000	other	0
CI9	32	Picture	I52	838667	0	1	5167	1	0	5000	other	0
CI9	33	Picture	O53	863834	0	1	5167	1	0	5000	other	0
CI9	34	Picture	U54	889001	0	1	5167	1	0	5000	other	0
CI9	35	Picture	H57	914167	0	1	5167	1	0	5000	other	0
CI9	36	Picture	M59	939834	0	1	5167	1	0	5000	other	0
CI9	37	Picture	A50	966167	0	1	5167	1	0	5000	other	0
CI9	38	Picture	L58	992501	0	1	5167	1	0	5000	other	0
CI9	39	Picture	O53	1019834	0	1	5167	1	0	5000	other	0
CI9	40	Picture	U54	1046834	0	1	5167	1	0	5000	other	0
CI9	41	Picture	I52	1072668	0	1	5167	1	0	5000	other	0
CI9	42	Picture	O53	1099501	0	1	5167	1	0	5000	miss	0
CI9	43	Picture	M59	1127001	0	1	5167	1	0	5000	other	0
CI9	44	Picture	I52	1153668	0	1	5167	1	0	5000	miss	0
CI9	45	Picture	O53	1180834	0	1	5167	1	0	5000	miss	0
CI9	46	Picture	M59	1207501	0	1	5167	1	0	5000	miss	0
CI9	47	Picture	L58	1233168	0	1	5167	1	0	5000	other	0
CI9	48	Picture	O53	1260168	0	1	5167	1	0	5000	miss	0
CI9	49	Picture	B55	1287334	0	1	5167	1	0	5000	other	0
CI9	50	Picture	O53	1315001	0	1	5167	1	0	5000	other	0
CI9	51	Picture	F56	1342168	0	1	5167	1	0	5000	other	0
CI9	52	Picture	M59	1369834	0	1	5167	1	0	5000	other	0
CI9	53	Picture	F56	1397001	0	1	5167	1	0	5000	other	0
CI9	54	Picture	F56	1423001	0	1	5167	1	0	5000	miss	0
CI9	55	Picture	M59	1448168	0	1	5167	1	0	5000	miss	0
CI9	56	Picture	L58	1475335	0	1	5167	1	0	5000	other	0
CI9	57	Picture	B55	1501168	0	1	5167	1	0	5000	other	0
CI9	58	Picture	A50	1529335	0	1	5167	1	0	5000	other	0
CI9	59	Picture	M59	1555168	0	1	5167	1	0	5000	other	0
CI9	60	Picture	B55	1581335	0	1	5167	1	0	5000	miss	0
CI9	61	Picture	F56	1608835	0	1	5167	1	0	5000	other	0
