id;group;text;condition;time;sumReadingDuration;avgReadingDuration
CA0;TraStu;Text1;EdE;First;437.1179171;11.50310308
CA0;TraStu;Text2;ELF;Second;329.6673243;12.67951247
CA1;TraStu;Text1;EdE;First;563.7246654;14.83485962
CA1;TraStu;Text2;ELF;Second;278.7437551;10.72091366
CA2;TraStu;Text1;ELF;Second;285.7479675;7.519683355
CA2;TraStu;Text2;EdE;First;275.6829934;9.845821193
CA3;TraStu;Text1;EdE;Second;476.8659897;12.54910499
CA3;TraStu;Text2;ELF;First;425.3053637;16.3578986
CA4;TraStu;Text1;EdE;Second;329.6976943;8.676255113
CA4;TraStu;Text2;ELF;First;404.4169152;15.55449674
CA5;TraStu;Text1;ELF;Second;507.3968174;13.35254783
CA5;TraStu;Text2;EdE;First;518.853997;18.53049989
CA6;TraStu;Text1;EdE;Second;276.61415;7.279319738
CA6;TraStu;Text2;ELF;First;331.4177446;12.74683633
CA7;TraStu;Text1;EdE;First;573.6881344;15.09705617
CA7;TraStu;Text2;ELF;Second;314.9772618;12.11451007
CA8;TraStu;Text1;EdE;Second;424.9108696;11.18186499
CA8;TraStu;Text2;ELF;First;378.4298196;14.55499306
CE0;TraStu;Text1;ELF;First;435.7467866;11.4670207
CE0;TraStu;Text2;EdE;Second;296.8443043;10.6015823
CE1;TraStu;Text1;ELF;Second;545.2083569;14.34758834
CE1;TraStu;Text2;EdE;First;431.6096907;15.41463181
CE2;TraStu;Text1;ELF;Second;352.1040032;9.265894821
CE2;TraStu;Text2;EdE;First;386.3270731;13.79739547
CE3;TraStu;Text1;EdE;First;409.9731653;10.78876751
CE3;TraStu;Text2;ELF;Second;291.2071049;11.20027327
CE4;TraStu;Text1;ELF;Second;567.5826213;14.93638477
CE4;TraStu;Text2;EdE;First;432.8733006;15.45976073
CE5;TraStu;Text1;ELF;Second;426.3814857;11.22056541
CE5;TraStu;Text2;EdE;First;310.102685;11.07509589
CE6;TraStu;Text1;ELF;First;636.7038331;16.75536403
CE6;TraStu;Text2;EdE;Second;376.6710098;13.45253606
CE7;TraStu;Text1;ELF;Second;328.4602482;8.643690743
CE7;TraStu;Text2;EdE;First;369.5579567;13.19849845
CE8;TraStu;Text1;EdE;First;760.8699419;20.02289321
CE8;TraStu;Text2;ELF;Second;533.5524724;20.52124894
CE9;TraStu;Text1;ELF;Second;378.0508163;9.948705692
CE9;TraStu;Text2;EdE;First;333.1586635;11.8985237
CF0;TraStu;Text1;ELF;First;518.7924285;13.65243233
CF0;TraStu;Text2;EdE;Second;328.9228027;11.74724295
CF1;TraStu;Text1;ELF;Second;423.7214272;11.15056387
CF1;TraStu;Text2;EdE;First;322.0785649;11.50280589
CF2;TraStu;Text1;EdE;First;448.573061;11.80455424
CF2;TraStu;Text2;ELF;Second;386.1138685;14.8505334
