T1_SE_copy;T1_ELF_copy;T2_SE_copy;T2_ELF_copy
;;;
Der Einfluss von sozialer Information auf das Verhalten wurde in verschiedenen Situationen aufgezeigt.;;;
Zum Beispiel zeigten Forschungen, dass Menschen ihre Energie und Wasserverbrauch, ihre Beiträge für gute Zwecke, und ihre Sparentscheidungen verändern, wenn ihre Taten mit denen von anderen, ähnlichen Menschen verglichen werden.;;;
Auch wenn es ein wachsendes Interesse in der Sozialen Vergleichswissenschaft gibt, bleiben verschiedene Fragen offen.;;;
Vor allem über den Ursprung von Heterogenitä;;;
;;;Such advisors are specifically trained to implement the pilot actions by educating energy vulnerable consumers (VCs) to optimize (and, possibly, reduce) their energy consumption, mostly through behavioural changes.
;;;In the project, Energy Consumption Research Institute is responsible of the technical training of HEAs and the pilot actions planning.
;;;This paper collects the first results of the above mentioned tasks.
;;;"The first part of the paper summarizes the results of a statistical analysis performed to understand how to define an ""energy poor"" or ""energy vulnerable"" consumer, as a common European definition does not exist."
;;;"The main obstacle in performing this analysis is that the data often used for standard indicators (e.g. Low-Income High-Costs) are not available in many countries, so new ways to understand what is an ""energy vulnerable consumer"" have to be explored."
;;;"Moreover, the availability of different data in the EU countries leads to a fragementd and often ""not compatible"" segmentatin in different Memeber States."
;;;To overcome this barrier, it is necessary to define the background in which the pilot actions shall be inserted (the situation in the analysed MS) and to perform an on-purpose segmentation, by analysing and elaborating existing statistics databases to which apply similar indicators, compatible with the available information. 
;;;The second part of the paper briefly intro
