T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;Das Hauptproblem bei dieser Analyse ist es, dass Daten häufig für Standardindikatoren (z.B. niedriges Einkommen - hohe Kosten) nicht verfügbar sind in einigen Ländern und dadurch neue Arten von energiebewussten Kunden entdeckt werden müssen.;
;;Darüber hinaus die Unterschiede zwischen den verfügbaren Daten innerhalb der Länder der EU führen zu oft inkompatiblen Kundensegmentationen in den Herkunftsländern.;
;Eine verstärkte Wahrnehmung der Norm in Richtung von Energiedings kann den Energiekonsum beeinflussen.;Um dieses Problem zu überwinden, ist es wichtig, den Hintergrund zu definieren, ;
;Zweitens - während Umweltwerte dazu neigen, stabil zu sein in jedermanns Leben - kann umweltbezogene Selbstidentität beeinflusst werden durch beispielsweise Informationen bezüglich Energiesparen.;;
;Ein zweiter Mechanismus könnte dazu dienen, dass gelieferte Informationen des HER das eigene Umweltsbewusstsein verbessert;;
;Indem Biosphärische Werte aktiviert werden, stärkt HER den Fokus der Leute auf die Umwelt.;;
;Die Analyse kombiniert Daten aus einem grossen randomisierten Programm, welches durch Opower in Italien;;
