T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;Solche Ratgeber sind speziell trainiert um solche Pilotaktionen durchzuführen indem sie anfällige Konsumenten (VCs) helfen, die Energiekonsumption zu optimieren (und möglicherweise zu reduzieren), dies meist durch Einen Wechsel im Verhalten.
Während das konservationsverhalten der Menschen mit hohe biosphährischen Ansprüchen gut dokumentiert ist in der Literatur, ist über diese Rückmeldung der Konsumenten zum Peervergleich wenig bekannt.;;;Während dem Projekt ist das Energy Consumption Research Institute verantwortlich für das Training der HEAs und der Planung von Pilotaktionen.
In dieser Arbeit testen wir, ob es einen sozialen Vergleichseffekt bei Energiekonservation gibt und ob dieser Effekt abhängig davon ist, ob individuelle Personen hohe Umweltansprüche haben.;;;Diese Arbeit sammelt zunächst die ersten Resultate der oben erwähnten Aufgaben.
Eine weitere wichtige Lücke in der Forschung ist das Verstehen der Mechanik hinter den individuellen Reaktionen zu Opowers HER bezüglich der Enrgienutzung.;;;Der erste Teil der Arbeit fasst die Reu
Das HER ;;;
