T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;Dies wird durch die Implementierung einer Reihe von Pilotprojekten mit einer Gruppe von sogenannten HEAs (Home Energy Advisors) bewerkstelligt.;
;;"Diese ""Advisors"" wurden  speziell ausgebildet, um diese  Pilotaktionen einzuführen. Unter diesen Aktionen gehen z.B. das Bilden von Energiekonsumenten, um deren Konsum zu optimieer";
;In der vorliegenden Studie wird der Effekt von sozialem Vergleich in Bezug auf Energiesparen getestet und inwiefern dies auf dem Aspekt beruht, ob Tespersonen hohe Verbrauchswerte gutheissen.;;
;Eine weitere wichtige Forschungslücke  sind das Verstehen der Mechanismen hinter der Reaktion eines Individuums auf den OPower Home Energy Report (HER) in Bezug auf den Energieverbrauch.;;
;Der HER beinhaltet vier wichtige Elem;;
