T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;Der Einfluss der sozialen Informationen über das Verhalten wurde in einer Reihe von Settings gezeigt.;;
;Forschungsergebnisse zeigen, dass Menschen, wenn man ihnen erzählt, wo ihre Handlungen im Vergleich zu anderen ähnlichen Personen stehen, ihren Energie- und Wasserverbrauch, ihren Beitrag für Wohltätigkeitszwecke und ihre Entscheidungen hinsichtlich Einsparungen ändern.;;
;Trotz eines zunehmenden Interesses ;;
;;;
;;;
;;;
;;In diesem Projekt ist das Energy Consumption Research Institute zuständig für die technische Ausbildung der HEAs und die Planung der Pilotaktionen.;
;;In diesem Paper werden die ersten Ergebnisse dieser zwei Aufgaben präsentiert.;
;;"Im ersten Teil des Papers werden die Ergebnisse einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um ""energiearme"" und ""energiegefährdete"" Verbraucher zu definieren, da keine für ganz Europa gültige Definition existiert.";
;;Die grösste Schwierigkeit bei der Durchführung dieser Analyse;
