T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;In dieser Arbeit werden die ersten Ergebnisse der vorher erwähnten Aufgaben gesammelt.
;;;"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie ""energiearme"" oder ""energiegefährdete"" Verbraucher zu definieren sind, da keine gemeinsame europäische Definition existiert."
Das HER-Programm enthält verschiedene Elemente, darunter einen statischen Vergleich des Energieverbrauchlevels zwischen Nachbarn (eine deskriptive Norm), Rückmeldungen zur individuellen Leistung (eine injunktive Norm) sowie Tipps zum Energiesparen.;;;"Ein Haupthindernis bei der Durchführung dieser Analyse ist, dass die Daten, die häufig für Standardindikatoren verwendet werden (zum Beispiel tiefes Einkommen, hohe Kosten) in vielen Ländern nicht verfügbar sind. Es mussten also neue Wege erforscht werden, um zu verstehen, was ein ""energiegefährdeter Verbraucher"" ist."
Ein weiteres Ziel dieser Arbeit ist es, mögliche Mechanismen zu evaluieren, die HER wirksamer machen könnten.;;;"Zudem führen die verschiedenen in der EU verfügbaren Daten zu einer bruchstückhaften und oft ""nicht kompatiblen"" Segmentierung in einigen Mitgliedsstaaten."
Als Erstes testen wir, ob HER die Wahrnehmung von Normen im Bereich des Energiesparens eines Individuums beeinflusst.;;;Um dieses Hindernis zu überwinden, muss der Hintergrund, vor welchem die Pilotaktionen eingeführt werd
Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.;;;
Während umweltbezogene Werte in der Regel während des ganzen Lebens stabil bleiben, kann die umweltbezogene Selbstidentität beeinflusst werden, zum Beispiel durch Informationen in Bezug auf das Energiesparen.;;;
Ein zweiter Mechanismus könnte deshalb sein, dass Informationen, die über HER vermittelt werden, die umweltbezogene Selbstidentität von Verbrauchern stärk;;;
