T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;Energiearmut ist eines der grössten sozialen, technischen und gesetzgeberischen Probleme in Europa derzeit, mit einer geschätzten Anzahl Betroffener von 50 bis 125 Millionen Menschen.
;;;Die Europäische Kommission (EK) hat sich sehr bemüht, dieses Problem zu lösen, was beispielsweise durch die kürzliche Lancierung des EU Energy Poverty Obersvatory im Januar 2018 offensichtlich wird.
;;;Einer, der von der EK hervorgehobenen Punkte, ist die Bedeutung, aus Erfahrungen zu lernen und bewährte Praktiken aus verschiedenen Mitgliedsstaaten (MS).
;;;Vor diesem Hintergund zielt das Projekt (
;;;
;;;
;;;
;;;
;;;
Ein weiteres Ziel dieser Studie ist, mögliche Mechanismen zu untersuchen, die HER effizenter gestalten.;;;
Zuerst untersuchen wir, ob HER die Wahrnehmung der Auffassung der Normen im Bereich des Energeverbrauchs bei den Testpersonen beeinflusst.;;;
Eine stärkere Auffassung der Norm, Energie zu sparen, kann den Energieverbrauch beeinflussen.;;;
Während Werteeinstellungen einer Person meist ein Leben lang gleich bleiben, kann das umweltbezogene Verhalten beeinflusst werden, beispielsweise durch Informationen über das Energiesparen.;;;
