T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;Energiearmut ist eines der grössten sozialen, technischen und legislativen Problemen der heutigen Zeit in Europa, mit einer schätzungsweisen Zahl an betroffenen Menschen die sich zwischen  und  Millionen bewegt.;
;;Die europäische Kommisionb hat viel Arbeit in die Lösungsfindung dieses Problems investiert, wie beispielsweise am vor kurzer Zeit gegründeten EU Energy Poverty Observatory im Januar  ersichtlich ist.;
;;Eine der Punkte, welchen die EC hervorbringt, ist, von Erfahrungen zu lernen und von den besten Praktiken, die in den verschiedenen Mitgliedsstaaten praktiziert werden.;
;;"Mit diesem Gedanken beibehalten; das Projekt hier (welches von der EU  Kommission unter dem ";
;;;
;;;
;;;
;;;
;;;
;Ein zweiter Ansatz dieses Berichts ist, mögliche Mechanismen zu testen, die den HEr effektiv machen.;;
;Zuerst testen wir, ob der HER die Vorstellungen der Individuen der Norm formt im Angesicht des Themas des Energieverbrauchs.;;
;Eine stärkere Wahrnehmung der Norm in die Richtung der Energieeinsparung könnte dann den Energieverbrauch beeinflussen.;;
;"Zweitens, während das Umweltbewusstsein in jedermann'""s Leben gleichbleibend zu sein scheint, kann die eigene Umweltidentität beeinflusst werden, zum Beispiel durch Informationen bezüglich der Energiesparung.";;
;Ein zweiter Mechanismus könnte daher  sein, dass die Informationen, die mit dem HER übermitteltwerden, jemandes eigene Umweltidentitt vergrössern kann.;;
;Der HER stärkt den Fokus der Menschen darauf, der Umwelt;;
