T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;Trotz des wachsenden Interesse in sozial vergleichenden Forschungen, bleiben einige Fragen offen.;;
;Besonders wenig weiss man über die Ursprünge der Heterogenität im Effekt von einem gut bekannten sozial vergleichenden Experiment, wie jenes von der Opower program durch den Home Electricity Report zugestellte Experiment.;;
;In unserem Bericht spekulieren wir, dass umweltfreundliche Werte eine wichtige Quelle für Heterogenität im Effekt von den Opower Gruppenvergleich repräsen;;
;;;
;;In diesem Projekt ist die Energy Consumption Research Institure zuständig für das technische Training der HEAs und für die Planung der pilot actions.;
;;Dieser Bericht präsentiert die ersten Resultate dieser zwei Aufgaben.;
;;"Der erste Teil des Berichts fasst die Resultate einer statistischen Analyse zusammen, welches in Stande gesetzt wurde, um die ""energie-armen"" oder ""energie-empfindlichen"" Konsumenten zu definieren, da keine allgemeine europäische Definition existiert.";
;;Das Hauptproblem bei der Umsetzung der Analy;
