T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;Es tut dies mit dem Einsatz einer Serie von Pilotaktionen mit einer Gruppe von Beratern namens HEAs (Home Energy Advisors).;
;;Diese Berater wurden spezifisch darauf trainiert, die Pilotaktionen umzusetzen, indem sie verletzliche Konsumenten schulen. Dies um deren Energiekonsum zu optimieren und möglicherweise zu reduzieren, vor allem durch Verhaltensänderung.;
;;In diesem Projekt ist das Energy Consumption Forschungsinstitut verantwortlich für das technische Training der HEAs und für die Planung der Pilotaktionen.;
;Eine weitere wichtige Lücke in der Froschungs ist das Verstehen von den Mechanismen hinter individueller Reaktion auf Die Opower Home Energy Report (HER) im Bereich Energieverbrauch.;Dieser Artikel präsentiert die ersten Resultate dieser zwei Aufgaben.;
;HER vermittelt verschiedene Elemente, von einem statischen Nachbarvergleich bezüglich ENergieverbrauch (deskriptive Norm), hin zu Rückmeldungen darüber, wie gut ein Individuum performt (injunktive norm), sowie Tipps zum Energiesparen.;Der erste Teil des Artikels fa;
;Ein weiteres Ziel dieses Artikels ist es, mögliche Mechanismen zu testen, die HER effektiv machen.;;
;Zuerst testen wir ob HER die individuelle Wahrnehmung von Norm in der Energeckp;;
