control_number;id;group;text;condition;sentence_nr;translation;reference_translation
1;CA0;TraStu;Text2;ELF;2;Die Energieärmlichkeit ist eines der wichtigsten sozialen, technischen und legislativen Problmen in der heutigen Zeit in Europa. Es sind ungefähr 50 bis 125 Millionen Menschen davon betroffen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
2;CA0;TraStu;Text2;ELF;3;Die European Commission (EC) investierte viel, um dieses Problem zu lösen.  Dies zeigt zum Beispiel die aktuelle Einführung des EU Energy Poverty Observatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
3;CA0;TraStu;Text2;ELF;4;Ein Punkt vom EC ist die Wichtigkeit von Erfahrungen zu lernen und die beste Praktis an ;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
4;CA1;TraStu;Text2;ELF;7;In diesem Projekt ist das Energy Consumption Research Institut für das technische Training der HEAs und der Planung der Pilot-Aktionen zuständig.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
5;CA1;TraStu;Text2;ELF;8;Diese Arbeit sammelt die ersten Resultate der oben aufgeführten Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
6;CA1;TraStu;Text2;ELF;9;Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse zusammen, welche durchgeführt wurde, um di Definition von energieschwachen und energiestarken Konsumern zu verstehen (da eine europäische Definition nicht existiert).;Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
7;CA1;TraStu;Text2;ELF;10;Das grösste Problem ;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
8;CA2;TraStu;Text2;SE;2;Energiearmut ist eines der Hauptprobleme in Europa, von welchem  bis  Millionen Menschen auf sozialer, technischer und ausführender Ebene betroffen sind.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
9;CA2;TraStu;Text2;SE;3;Die EC hat grosse Bemühungen betrieben, um das Problem zu lösen. So auch die Gründung des EU Energy Poverty Observatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
10;CA2;TraStu;Text2;SE;4;Die EC setzt dabei auf das Lernen durch Erfahrung und von bereits bewährten Praktiken in verschiedensten Mitgliedsstaaten (MS).;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
