"rand_index","index","translation","fluency"
1,143,"Als Erstes testen wir, ob HER die Wahrnehmung von Normen im Bereich des Energiesparens eines Individuums beeinflusst.",""
2,348,"In Hinblick darauf versucht das Projekt (gegründet durch die EU Comm",""
3,331,"Um dieses Hindernis zu überwinden, ist es nötig, den Hintergrund zu ergründen, vor dem die Pliotmassnahmen angewendet werden sollen (d.h. die analyse der Situationen in den Mitgliedstaaten) und eine zielgerichtete Marktsegmentation durchzuführen, indem existierende Datenbanken analysiert und verbessert werden, auf die ",""
4,424,"Die grösste Hürde bei dieser Analyse besteht darin, dass die Daten, welche für Standardindikatoren (z. B. Tiefes-Einkommen hohe-Kosten) verwendet werden, in vielen Ländern nicht verfügbar sind. Das heisst, es müssen andere Wege ausgelotet werden, um nachvollziehen zu können, was ein ""energiegefährdeter Verbraucher"" ist. ",""
5,506,"Einer der Aspekte, welche von der EK betont werden, ist die Wichtigkeit, von der Erfahrung und von den in den Mitgliedsta",""
6,480,"Die Energiearmut ist eine der Hauptprobleme, die heute in Europa (sozial, technisch und legislativ). Mit einer geschätzten Anzahl von ungefähr 50 bis 125 Millionen Mensche.",""
7,321,"Der erste Teil dieses Artikels fasst die Resultate der statistischen Analyse zusammen, die durchgeführt wurde, um ""energy-poor"" oder ""energy-vulnerable"" Kosumenten zu definieren, da keine einheitliche europäische Definition existiert.",""
8,336,"Die European Commission (EC) hat grosse Anstrengungen unternommen, dieses Problem zu lösen. Dies zeigt sich beispielsweise bei der kürzlich lancierten Initiative Eu Energy Poverty Observatory, die im Januar 2018 gestartet ist.",""
9,69,"Der HER beinhaltet vier wichtige Elem",""
10,433,"Vor diesem Hintergund zielt das Projekt (",""
11,133,"Obwohl das Interesse an der Forschung im Bereich des sozialen Vergleichs zunimmt, bleiben mehrere Fragen offen.",""
12,343,"Dies wird durch die Implementierung einer Reihe von Pilotprojekten mit einer Gruppe von sogenannten HEAs (Home Energy Advisors) bewerkstelligt.",""
13,447,"Mit dem im Kopf, das Projekt das hier dargestellz wird  (geföhrdert durch die EU Kommission unter dem Grant Agreement no. 12345); von dem Das Energy Consumtion Research Institute ein Partner is, ziehlt darauf die besten Verhalten und ",""
