"rand_index","index","translation","fluency"
1,195,"Trotz einem wachsenden Interesse in sozialen Vergleich bleiben viel",""
2,450,"Mit diesem Gedanken, das Projekt (gesponsert von der EU Kommission unter dem Einverständnis n. 12345) von dem das Energy Consumption Research Institute ein Partner ist, versucht die besten Praktiken und Empfehlungen um Energie Armut anzusprechen von ",""
3,6,"In dieser Studie testen wir den Effekt von sozialem Vergleich auf die Energiekonservation und ob dies auf die hohen Umweltschü",""
4,520,"Während Werte betreffend der Umwelt eine Tendenz zur Stabilität im Leben von Leuten zeigen, kann das umweltbedingte bewusstein beeinflusst werden, wie zum Beispiel mit Information betreffend Energiesparen.",""
5,278,"Die EC hat grosse Bemühungen betrieben, um das Problem zu lösen. So auch die Gründung des EU Energy Poverty Observatory im Januar 2018.",""
6,277,"Energiearmut ist eines der Hauptprobleme in Europa, von welchem  bis  Millionen Menschen auf sozialer, technischer und ausführender Ebene betroffen sind.",""
7,521,"Ein zweiter Mechanismus könnte daher sein, dass die Information, welche durch HER vermittelt wurde, die umweltbedingte Eigenidentität des Konsumenten steigert.",""
8,194,"Zum Beispiel, zeigt die Recherche, dass den Menschen zu sagen wie sich ihre Reaktion mit anderen vergleichen, ähnliche Menschen ermutigt ihre Enegie und Wasserkonsumation, ihr Beitrag zum guten Zweck und ihre Spar Entscheidungen anzupassen.",""
9,522,"Die HEr stärkt den Fokus des Konsumenten auf ",""
10,523,"Um diese Schranke zu überwinden ist es notwendig, den Hintergrund, in welchem die Pilothandlungen eingebettet werdensollen (die Situation in den analysierten MS) zu definieren und eine absichtliche Segmentierung auszuführen, indem man schon existierende statistische Datenbanken analysiert und erstellt, zu welchen ähnliche Indikatoren verwendbar sind. Die Indikatoren  sollen kompatibel mit der vorhandenen Information sein.",""
11,5,"Das Konservationsverhalten von Leuten mit hohen biosphärischen Werten wurde in der Literatur ausführlich studiert, es ist jedoch sehr wenig über die ""Individual zu Kollegen"" Vergleiche bekannt.",""
12,279,"Die EC setzt dabei auf das Lernen durch Erfahrung und von bereits bewährten Praktiken in verschiedensten Mitgliedsstaaten (MS).",""
13,524,"Der zweite Teil dieser Arbeit führt kurz das Traing ein, welches den HEAs vorgestellt werden wird, um die Kompetenzen aufzuzeigen, welche eine Voraussetzung für ein HEA sind, der einen vulnerablen Konsumenten oder eine vulnerable Familie nähern will und wie man diese kostruiert.",""
14,193,"Der Einfluss von sozialer Information auf das Verhalten hat sich in verschiedenen Umgebungen gzeigt.",""
