control_number;id;group;text;condition;sentence_nr;translation;reference_translation
1;CA0;TraStu;Text1;SE;2;In verschiedenen Situationen wurde der Einfluss von sozialen Verhaltensinformationen bewiesen.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
2;CA0;TraStu;Text1;SE;3;Studien zeigten zum Beispiel, dass wenn den Personen aufgeführt wird, wie sie im Vergleich zu anderen darstehen, sie dann eher gewillt sind, ihren Energie- und Wasserverbrauch zu regulieren. Ausserdem neigen Sie dazu ihre ;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
3;CA1;TraStu;Text1;SE;2;Die Auswirkung von gesellschaftlicher Information über das Verhalten wurde in verschiedenen Settings demonstriert.;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.
4;CA1;TraStu;Text1;SE;3;Zum Beispiel haben Untersuchungen gezeigt, dass sich die Einstellung gegenüber Energie- und Wasserverbrauch, Spenden und Sparverhalten verändert, sobald man mit ähnlichen ;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
5;CA2;TraStu;Text1;ELF;7;"Das Konservationsverhalten von Leuten mit hohen biosphärischen Werten wurde in der Literatur ausführlich studiert, es ist jedoch sehr wenig über die ""Individual zu Kollegen"" Vergleiche bekannt.";Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.
6;CA2;TraStu;Text1;ELF;8;In dieser Studie testen wir den Effekt von sozialem Vergleich auf die Energiekonservation und ob dies auf die hohen Umweltschü;In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.
7;CA3;TraStu;Text1;SE;9;Eine weitere wichtige Lücke besteht beim Verständnis der Mechanismen der Reaktionen von einzelnen Individuen in Zusammenhang mit ihrem Energieverbrauch.;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. 
8;CA3;TraStu;Text1;SE;10;Die HER besteht aus verschiedenen Elementen. Es zieht folgende Elemente mit ein: einen statischen Nachbarsvergleich des Energieverbrauchs (eine deskriptive Norm), Rückmeldung zu individuellen Leistungen (eine injunktive Norm) und Tipps zum Energie;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.
9;CA4;TraStu;Text1;SE;3;So zeigt die Studie zum Beispiel, dass, wenn Menschen ihr Verhalten mit dem Anderer vergleichen, ähnliche Menschen dazu ermutigt werden, ihr Energie- und Wasserverbrauch, ihre Mithilfe an gemeinnützigen Projekten und ihr Sparverhalten zu ändern.;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.
10;CA4;TraStu;Text1;SE;4;Obwohl die Interesse an der Forschung an sozialem Vergleich steigt, bleiben einige Fragen offen.;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.
11;CA4;TraStu;Text1;SE;5;Vor allem ist nicht viel bekannt über die Quellen der Heterogenität, die man in Effekten von klassischen sozial;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.
