"rand_index","index","translation","reference_translation","accuracy"
1,337,"Einer der Hauptpunkte, die von der EC hervorgehoben werden, ist, dass man aus Erfahrung und von den besten Anwendungsbeispielen lernen muss, die in den unterschiedlichen Member States (MS) zum Einsatz kommen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
2,172,"Zuerst untersuchen wir, ob HER die Wahrnehmung der Auffassung der Normen im Bereich des Energeverbrauchs bei den Testpersonen beeinflusst.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
3,128,"Eine stärkere Wahrnehmung der Norm in Richtung Energiesparen könnte dann den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
4,231,"Obwohl ein wachsendes Interesse an Sozialvergleichenden Recherche","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
5,310,"Im ersten Teil werden die Ergebnisse einer","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
6,256,"In unserem Paper spekulieren wir, dass Umweltbewusstsein eine wichtige Quelle der Heterogenität darstellt in Bezug auf den Effekt der Opower Vergleichsstudie.","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
7,273,"In diesem Projekt ist das Energy Consumption Research Institut für das technische Training der HEAs und der Planung der Pilot-Aktionen zuständig.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
8,282,"Ein wichtiger Punkt, den die EC oft erwähnt, ist die Wichtigkeit von Erfahrungen und Best-Practice-Beispielen von anderen Member States (Ms","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
9,80,"Ein zweiter Mechanismus könnte deshalb sein, dass die Informationen, welche während dem HER zugeführt werden, die eigene umweltbezogene Selbstidentität verstärkt.","Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.",""
10,151,"Eine stärkere Wahrnehmung der Norm, um Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
11,243,"Eine stärkere Wahrnehmung der Norm Energie zu konservieren könnte dann die En","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
12,401,"Dieses Paper präsentiert die ersten Ergebnisse dieser beiden Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
13,443,"Die Europäische Kommission (EK) hat viel Aufwand betrieben, um dieses Problem zu lösen, wie zum Beispiel mit dem kürzlichen Startschuss der Eu Energy Poverty Observatory im Januar 2018 gezeigt wurde.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
14,190,"Während das Konservierungsverhalten von Menschen mit hohen biosphärischen Werten vielfach in der Literatur erforscht wurde, weiss man nur wenig über die Reaktionen dieser Individuen auf Peer-Vergleiche.","Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.",""
