"rand_index","index","translation","reference_translation","accuracy"
1,490,"Verantwortlich für das technische Training der HEAs and der Pilotactionplanung ist im Projekt das Energy Consumption Research Institut.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
2,209,"In unserem Bericht spekulieren wir, dass Werte, die das Umweltbewusstsein betres","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
3,275,"Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse zusammen, welche durchgeführt wurde, um di Definition von energieschwachen und energiestarken Konsumern zu verstehen (da eine europäische Definition nicht existiert).","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
4,497,"Der erste Teil des Artikels fasst die Resultate der statistischen Analysen, welche durchg","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
5,411,"Das Energy Consumption Research Institute ist in diesem Projekt verantwortlich für die technische Ausbildung der HEAs und die Planung der Pilotaufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
6,374,"In diesem Projekt ist das Energy Consumpion Research Institute für die technische Ausbildung der HEAs und die Planung der Pilottätigkeiten zuständig.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
7,479,"Der erste Teil dieser Arbeit fasst die Resultate der statistischen Analyse zusammen, welches dazu dient einen ""energiearmen"" oder einen ""energieverletzlichen"" Konsumenten zu definieren, da eine gängige europäische Definition dieser n","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
8,492,"Der erste Teil der Studie fasst die Resultate der statistischen Analyse zusammen, welche durchgeführt wurde, um zu definieren, wer als ""energiearm"" oder ""energieverletzlich"" gilt, da es keine allgemeingültige Definition in Europa dafür gibt.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
9,472,"Dies beachtend, ist das Ziel vom Projekt (finanziert von der EU Kommission unter dem Grant Agreement n. 12345), mit dem Energy Consumption Research Institute als Partner, ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
10,439,"Der erste Teil der Arbeit fasst die Resultate zusammen, die mit einer statistischen Analyse durchegührt worden sind, um zu verstehen, wie man ""energiearme"" oder ""energieverletzliche"" Konsumenten definieren kann, da eine allgemeine Definition noch nicht existiert. ","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
11,373,"Diese Berater werden gezielt dazu ausgebildet, die Pilottätigkeiten durchzuführen, indem energieanfällige Verbaucher (VC) dazu gebracht werden, ihren Stromverbauch zu optimieren (und nach Möglichkeit zu reduzieren). Dies geschieht in erster Linie durch Verhaltensänderungen.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
12,297,"Der erste Teil der Studie fasst die Resultate einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie eine ""energiearme"" oder ""energiegefährdete"" Konsumerschaft definiert werden kann, da eine allgemeine Europäische Definition nicht existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
13,477,"Im Projekt ist Energy Consumption Research Institute verantwortlich für das technische Training der HEAs und für die Planung der Pilotaktionen.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
14,422,"Diese Studie fasst die ersten Ergebnisse zu den zuvor erwähnten Aufgaben zusammen.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
15,295,"In dem Projekt ist das Energy Consumption Research Institute für das technische Training der HEA's und die Pilot Aktionsplanung verantwortlich.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
16,299,"Solche Ratgeber sind speziell trainiert um solche Pilotaktionen durchzuführen indem sie anfällige Konsumenten (VCs) helfen, die Energiekonsumption zu optimieren (und möglicherweise zu reduzieren), dies meist durch Einen Wechsel im Verhalten.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
17,412,"Dieses Paper sammelt die ersten Resultate der oben genannten Aufgaben.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
18,208,"Im Besonderen ist relativ wenig bekannt über die Gründe der Heterogenität des Effektes eines bekannten Experiments sozialen Vergleichs, wie das, welches von Opower program durch die Home Electrity Report bereitgestellt wurde","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
19,233,"Besonders wenig weiss man über die Ursprünge der Heterogenität im Effekt von einem gut bekannten sozial vergleichenden Experiment, wie jenes von der Opower program durch den Home Electricity Report zugestellte Experiment.","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
