"rand_index","index","translation","fluency"
1,528,"Das grösste Hindernis bei der Durchführung dieser Analyse ist, dass die daten, die oft als Standardindikatoren genutzt werden (z. B. niedriges Einkommen hohe Kosten), für viele Länder nicht verfügbar sind. Dadurch müssen neue Wege gefunden werden, um energiegefährdete Nutzer zu definieren.",""
2,522,"Die HEr stärkt den Fokus des Konsumenten auf ",""
3,526,"Die Forschung zeigt, dass Personen ihren Energie- und Wasserverbrauch, ihren Beitrag zu gemeinnützigen Zwecken und ihre Entscheide in Bezug auf Einsparungen anpassen, wenn ihnen aufgezeigt wird, inwiefern sich ihr Verhalten von dem anderer unterscheidet.",""
4,521,"Ein zweiter Mechanismus könnte daher sein, dass die Information, welche durch HER vermittelt wurde, die umweltbedingte Eigenidentität des Konsumenten steigert.",""
5,529,"Darüber hinaus führen die Unterschiede in den Daten, die für EU-Länder zur Verfügung stehen, zu einer fragmentierten und oft inkompatiblen Nutzer-Segmentation in den Mitgliedsstaaten.",""
6,525,"Der Einfluss sozialer Information auf das Verhalten ist in vielen verschiedenen Settings aufgezeigt worden.",""
7,523,"Um diese Schranke zu überwinden ist es notwendig, den Hintergrund, in welchem die Pilothandlungen eingebettet werdensollen (die Situation in den analysierten MS) zu definieren und eine absichtliche Segmentierung auszuführen, indem man schon existierende statistische Datenbanken analysiert und erstellt, zu welchen ähnliche Indikatoren verwendbar sind. Die Indikatoren  sollen kompatibel mit der vorhandenen Information sein.",""
8,524,"Der zweite Teil dieser Arbeit führt kurz das Traing ein, welches den HEAs vorgestellt werden wird, um die Kompetenzen aufzuzeigen, welche eine Voraussetzung für ein HEA sind, der einen vulnerablen Konsumenten oder eine vulnerable Familie nähern will und wie man diese kostruiert.",""
9,520,"Während Werte betreffend der Umwelt eine Tendenz zur Stabilität im Leben von Leuten zeigen, kann das umweltbedingte bewusstein beeinflusst werden, wie zum Beispiel mit Information betreffend Energiesparen.",""
10,527,"Trotz eines wachsenden Interesses an sozialer Vergleichsforschung bleiben einige offene Fragen bestehen. ",""
11,530,"Um dieses Hindernis zu überwinden, muss der Hintergrund definiert werden, vor dem die Pilot-Massnahmen eingeführt werden (die Situation in den analy",""
