Index;Sentence;Absatz
1;SOZIALE INFORMATIONEN UND ENERGIESPAREN – ÖKOLOGISCHE IDENTITÄT UND SOZIALE NORMEN;0
2;Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.;1
3;Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.;1
4;Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.;1
5;Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.;1
6;In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.;1
7;Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.;1
8;In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.;1
9;Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ;1
10;Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.;2
11;Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.;2
12;Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.;2
13;Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.;2
14;Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.;3
15;Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.;4
16;Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.;4
17;Diese Analyse kombiniert Daten aus einer grossen randomisierten Studie von Opower in Italien mit Umfragedaten von Kundinnen und Kunden eines Energieversorgers.;4
18;Die Daten des Energieversorgers spezifizieren, ob eine Person einen HER mit sozialen Informationen erhält, die Häufigkeit und Art der sozialen Informationen, den Umgang der Kundinnen und Kunden damit und ihren Energieverbrauch.;4
19;Die Umfragedaten beinhalten Angaben zu ökologischen Werten, ökologischer Selbstidentität, sozialen Normen und anderen Haushaltsmerkmalen.;5
20;Das erste Ziel dieser Analyse ist es, den Einfluss des HER-Programmes auf den Energieverbrauch und auf die Benutzung des digitalen HER-Portals durch Kundinnen und Kunden zu evaluieren.;5
21;Die empirische Analyse basiert auf einer Stichprobe aus Kundinnen und Kunden des italienischen Energieversorgers (ENI gas e luce) zwischen Januar 2015 und Dezember 2017.;5
22;Diese Stichprobe besteht aus 4'535 Kundinnen und Kunden, wovon 3'720 zur Behandlungsgruppe und 815 zur Kontrollgruppe gehören.;5
23;Das zweite Ziel dieser Studie ist es, den heterogenen Effekt des Programmes auf zwei Ebenen zu evaluieren.;5
24;Wir möchten testen, wie der Behandlungseffekt in Bezug auf den ursprünglichen Energieverbrauch und auf die anfänglichen Umweltwerte variiert.;5
25;Diese Analyse soll beantworten, welche Merkmale einer Kundin oder eines Kunden die Chance erhöhen, auf die HER-Informationen einzugehen.;6
26;Die Studie hat als drittes Ziel herauszufinden, welche Mechanismen hinter den Auswirkungen des Programms stecken.;6
27;Um mehr über die möglichen Rollen zweier Mechanismen zu erfahren, führen wir Manipulationschecks durch.;6
28;Zuerst überprüfen wir, ob die erhaltenen HER-Informationen die ökologische Selbstidentität beeinflussen.;6
29;Wir überprüfen auch, ob der HER beeinflusst, wie die Konsumentinnen und Konsumenten soziale Normen mit Bezug aufs Energiesparen wahrnehmen.;7
30;Eine fundierte Erkenntnis der Analyse ist, dass vor allem der Energiekonsum vor der Behandlung und die ökologischen Werte die Hauptursachen für die Heterogenität sind.;7
31;Familien mit einem höheren Energiekonsum vor der Behandlung reagieren mit einer Senkung ihres Energieverbrauchs auf die Intervention.;7
32;Wenn sie vor der Behandlung einen hohen Energiekonsum haben, reagieren Personen mit ausgeprägten ökologischen Werten auf die sozialen Informationen eher mit einer Reduktion ihres Energiekonsums.;8
33;Weiter erhöht der HER die ökologische Selbstidentität bei jenen Personen, welche vor der Behandlung einen hohen Energiekonsum hatten.;8
34;Ein weiteres wichtiges Resultat ist, dass der HER die Wahrnehmung der Konsumentinnen und Konsumenten in Bezug auf die soziale Norm des Energiesparens begünstigt.;8
35;Interessanterweise kann dieser Effekt sowohl bei Haushalten mit hohem wie auch mit niedrigem Energiekonsum nachgewiesen werden.;9
36;Aus all diesen Resultaten lässt sich schliessen, dass der HER Haushalte mit ursprünglich hohem Konsum zum Reduzieren des Energieverbrauchs ermuntert, weil er ihre ökologische Selbstidentität stärkt.;9
37;"Der HER beeinflusst auch die soziale Norm des Energiesparens bei Haushalten mit niedrigem Energiekonsum vor der Behandlung; dieser Effekt führt aber nicht zu einem reduzierten Energieverbrauch bei dieser Art von Haushalten.";9
38;Daher lässt sich folgern, dass der Mechanismus der sozialen Norm weniger wirkungsvoll ist bei der Förderung von energiesparendem Verhalten.;9
