Index;Sentence;Absatz
1;VERHALTENSÄNDERUNGEN ZUR MINDERUNG DER ENERGIEARMUT IN EUROPA;0
2;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ;1
3;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.;1
4;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.;1
5;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.;1
6;Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).;1
7;Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.;1
8;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.;1
9;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ;1
10;Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.;2
11;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.;2
12;Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.;2
13;Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.;2
14;Im zweiten Teil dieses Artikels wird kurz die Ausbildung vorgestellt, um aufzuzeigen, welche Kompetenzen HEAs benötigen, bevor sie energiegefährdete Konsumentinnen und Konsumenten beziehungsweise Familien beraten können und wie sie sich diese Kompetenzen aneignen.;3
15;Im dritten Teil wird die Planung der Pilotmassnahmen vorgestellt, was auch der Hauptfokus des Artikels ist.;4
16;"In diesen Prozess waren mehrere Stakeholder und lokale Expertinnen und Experten involviert; diese lernten sich bei drei Workshops kennen. Weiter gehörten zum Prozess umfassende Literaturanalysen, Brainstormings mit diversen Projektpartnern sowie Austausch mit Organisationen, die bereits Massnahmen umgesetzt hatten, um gefährdete Konsumentinnen und Konsumenten zu unterstützen, oder die in diesem Bereich aktiv sind.";4
17;Die vorgeschlagenen Massnahmen werden nach ihren Vor- und Nachteilen, möglichen Einschränkungen, dem voraussichtlichen Zeitrahmen und der Kostenprognose für die einzelnen Massnahmen beurteilt.;4
18;Zuletzt werden die Resultate der ersten umgesetzten Massnahmen vorgestellt, um so einen Einblick in die vorläufigen Ergebnisse zu gewähren.;4
19;Die zentralen Schlussfolgerungen konzentrieren sich auf die Rolle der HEAs und einen optimierten Energieverbrauch, der durch Beratungen von gefährdeten Konsumentinnen und Konsumenten erreicht wurde.;5
20;Insgesamt wurden zwei zentrale Probleme identifiziert:;5
21;Das erste Problem sind gewisse Hürden, welche sich den HEAs stellen.;5
22;Insbesondere hat sich gezeigt, dass der Umgang der HEAs mit verschiedenen Bildungsniveaus eine Voraussetzung für eine erfolgreiche Ausbildung ist.;5
23;Allfälligem Misstrauen der energiegefährdeten Konsumentinnen und Konsumenten gegenüber HEAs kann begegnet werden, indem auf ihre Unabhängigkeit und ihre nicht vorhandenen wirtschaftlichen Interessen verwiesen wird (z. B. wie ein nationaler Konsumentinnen- und Konsumentenschutzverband oder eine lokale Wohltätigkeitsorganisation).;5
24;Daran geknüpft ist eine weitere Hürde, nämlich die Ungewissheit, wie die Qualifikation als HEA auf dem Stellenmarkt zu gebrauchen ist. ;5
25;Als zweites Problem hat sich herausgestellt, dass es bei vielen energiegefährdeten Haushalten fast unmöglich ist, den Energieverbrauch zu reduzieren.;6
26;Obwohl sie sich der umweltfreundlichen Folgen ihres Verhaltens gar nicht bewusst sind, haben sie bereits energiesparende Gewohnheiten und verbrauchen so wenig Energie wie möglich, um ihre Ausgaben tief zu halten. ;6
27;Daher sollten HEAs den Energieverbrauch dieser Haushalte nur insofern zu optimieren versuchen, dass diese ihre gegenwärtigen Ausgaben reduzieren oder beibehalten können und der Energieverbrauch gleichbleibt (oder leicht steigt, um dadurch das Wohlbefinden zu steigern).;6
28;Dies kann mit smarter Energienutzung erreicht werden. Beispielsweise kann mithilfe von Fachpersonen wie den HEAs von tageszeitabhängigen Strompreisen profitiert oder zu einem günstigeren Stromanbieter gewechselt werden. ;6
